trip,route,clients,sailling times,berth start,berth time
0,0,"[17, 4, 94, 34, 10, 37, 68, 38]","[7.18, 1.08, 0.36, 0.35, 2.91, 1.68, 2.64, 0.45, 6.25]",42.0,14.0
1,0,"[17, 4, 94, 34, 10, 37, 68, 38]","[7.18, 1.08, 0.36, 0.35, 2.91, 1.68, 2.64, 0.45, 6.25]",126.0,14.0
2,1,"[85, 109, 25, 89]","[7.67, 0.24, 1.06, 0.26, 10.08]",54.0,14.0
3,1,"[85, 109, 25, 89]","[7.67, 0.24, 1.06, 0.26, 10.08]",138.0,14.0
4,2,"[111, 26, 48, 98, 57, 107, 69]","[6.9, 0.31, 0.59, 1.23, 0.8, 0.69, 1.45, 8.2]",42.0,14.0
5,2,"[111, 26, 48, 98, 57, 107, 69]","[6.9, 0.31, 0.59, 1.23, 0.8, 0.69, 1.45, 8.2]",126.0,14.0
6,3,"[101, 64, 75, 115, 43]","[7.1, 0.82, 0.45, 10.7, 0.25, 7.93]",16.0,14.0
7,3,"[101, 64, 75, 115, 43]","[7.1, 0.82, 0.45, 10.7, 0.25, 7.93]",100.0,14.0
8,4,"[52, 82, 99, 30, 104, 110]","[7.29, 2.98, 0.46, 5.18, 0.99, 3.5, 8.02]",57.0,14.0
9,4,"[52, 82, 99, 30, 104, 110]","[7.29, 2.98, 0.46, 5.18, 0.99, 3.5, 8.02]",141.0,14.0
10,5,"[59, 24, 97, 71, 87, 78, 83]","[7.01, 5.65, 1.09, 0.69, 1.01, 0.89, 0.47, 6.15]",14.0,14.0
11,5,"[59, 24, 97, 71, 87, 78, 83]","[7.01, 5.65, 1.09, 0.69, 1.01, 0.89, 0.47, 6.15]",98.0,14.0
12,6,"[27, 116, 67, 28, 105]","[8.47, 0.79, 2.45, 0.37, 0.85, 7.93]",19.0,14.0
13,6,"[27, 116, 67, 28, 105]","[8.47, 0.79, 2.45, 0.37, 0.85, 7.93]",103.0,14.0
14,7,"[60, 20, 66, 51, 58]","[7.28, 6.52, 0.6, 0.47, 0.9, 7.12]",24.0,14.0
15,7,"[60, 20, 66, 51, 58]","[7.28, 6.52, 0.6, 0.47, 0.9, 7.12]",108.0,14.0
