vessel,capacity,eta
0,"[61, 979, 1170]",15
1,"[69, 1453, 741]",9
2,"[73, 1149, 1146]",5
3,"[73, 1345, 1103]",11
4,"[80, 1388, 751]",32
5,"[95, 1083, 1376]",20
6,"[86, 1274, 1088]",43
7,"[78, 939, 983]",19
8,"[89, 1371, 1006]",38
9,"[66, 1335, 1112]",15
10,"[83, 1140, 1119]",50
11,"[73, 1364, 1436]",11
12,"[88, 921, 1287]",26
13,"[89, 1179, 1401]",17
14,"[73, 1381, 1405]",26
15,"[78, 767, 1280]",15
16,"[86, 969, 1160]",11
17,"[77, 1325, 1074]",70
18,"[92, 1249, 1162]",40
19,"[83, 1019, 1192]",20
20,"[61, 979, 1170]",15
21,"[69, 1453, 741]",9
22,"[73, 1149, 1146]",5
23,"[73, 1345, 1103]",11
24,"[80, 1388, 751]",32
25,"[95, 1083, 1376]",20
26,"[86, 1274, 1088]",43
27,"[78, 939, 983]",19
28,"[89, 1371, 1006]",38
29,"[66, 1335, 1112]",15
30,"[83, 1140, 1119]",50
31,"[73, 1364, 1436]",11
32,"[88, 921, 1287]",26
33,"[89, 1179, 1401]",17
34,"[73, 1381, 1405]",26
35,"[78, 767, 1280]",15
36,"[86, 969, 1160]",11
37,"[77, 1325, 1074]",70
38,"[92, 1249, 1162]",40
39,"[83, 1019, 1192]",20
