request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,3,0,1,74,5.24,2.62
1,0,7,0,1,174,5.04,2.52
2,0,6,0,1,54,3.32,1.66
3,1,175,0,1,106,3.22,1.61
4,1,161,0,1,141,2.24,1.12
5,1,171,0,1,156,3.8,1.9
6,1,243,0,1,66,2.0,1.0
7,0,5,1,1,131,2.34,1.17
8,0,3,1,1,145,2.42,1.21
9,0,1,1,1,35,4.7,2.35
10,0,6,1,1,126,4.2,2.1
11,0,5,1,1,25,3.52,1.76
12,0,5,1,1,-32,5.02,2.51
13,0,6,1,1,-22,3.28,1.64
14,0,3,1,1,178,4.12,2.06
15,0,2,1,1,156,1.46,0.73
16,0,2,1,1,48,2.44,1.22
17,1,239,1,1,145,2.74,1.37
18,1,255,1,1,178,3.62,1.81
19,1,234,1,1,155,2.72,1.36
20,0,5,2,0,-67,3.72,1.86
21,0,1,2,0,121,2.7,1.35
22,1,175,2,0,112,2.1,1.05
23,1,133,2,0,37,3.76,1.88
24,1,302,2,0,116,1.82,0.91
25,1,181,2,0,80,4.54,2.27
26,1,157,2,0,164,4.08,2.04
27,1,260,2,0,171,3.14,1.57
28,1,233,2,0,59,4.02,2.01
29,1,154,2,0,135,4.68,2.34
30,1,181,2,0,122,2.54,1.27
31,1,212,2,0,92,4.5,2.25
32,1,150,2,0,162,1.44,0.72
33,0,3,3,0,43,2.8,1.4
34,0,10,3,0,148,3.32,1.66
35,0,10,3,0,136,3.98,1.99
36,0,2,3,0,-58,3.2,1.6
37,0,2,3,0,170,2.92,1.46
38,1,344,3,0,151,5.44,2.72
39,1,312,3,0,123,1.5,0.75
40,1,288,3,0,178,1.8,0.9
41,1,153,3,0,208,3.56,1.78
42,0,3,4,3,35,4.3,2.15
43,0,3,4,3,24,4.78,2.39
44,0,3,4,3,46,3.4,1.7
45,0,4,4,3,51,3.22,1.61
46,0,3,4,3,169,2.8,1.4
47,0,1,4,3,172,4.46,2.23
48,0,1,4,3,161,4.24,2.12
49,1,226,4,3,123,3.84,1.92
50,1,178,4,3,95,2.68,1.34
51,1,198,4,3,155,3.88,1.94
52,1,232,4,3,157,4.46,2.23
53,1,254,4,3,195,4.02,2.01
54,1,251,4,3,168,3.92,1.96
55,1,179,4,3,215,4.7,2.35
56,1,208,4,3,209,4.1,2.05
57,1,310,4,3,148,3.56,1.78
58,1,247,4,3,6,2.68,1.34
59,0,1,5,2,104,4.36,2.18
60,0,3,5,2,148,3.96,1.98
61,0,1,5,2,82,3.74,1.87
62,0,2,5,2,223,3.66,1.83
63,0,2,5,2,173,3.6,1.8
64,1,218,5,2,121,4.34,2.17
65,1,263,5,2,69,4.6,2.3
66,1,185,5,2,137,3.12,1.56
67,1,245,5,2,134,3.98,1.99
68,1,226,5,2,52,5.24,2.62
69,1,342,5,2,113,4.42,2.21
70,1,219,5,2,158,3.82,1.91
71,1,224,5,2,132,3.76,1.88
72,1,159,5,2,135,2.9,1.45
73,1,143,5,2,130,4.34,2.17
74,0,6,6,0,-28,3.42,1.71
75,0,2,6,0,180,3.34,1.67
76,0,8,6,0,164,4.32,2.16
77,0,3,6,0,175,3.94,1.97
78,0,2,6,0,47,4.52,2.26
79,1,203,6,0,148,2.44,1.22
80,1,169,6,0,68,3.76,1.88
81,1,137,6,0,90,4.02,2.01
82,1,181,6,0,115,4.26,2.13
83,0,2,7,1,228,2.94,1.47
84,0,4,7,1,150,3.96,1.98
85,0,4,7,1,176,3.52,1.76
86,0,3,7,1,188,2.36,1.18
87,1,364,7,1,96,3.68,1.84
88,1,219,7,1,193,1.8,0.9
89,0,3,8,4,105,2.64,1.32
90,0,2,8,4,41,3.44,1.72
91,0,3,8,4,216,4.54,2.27
92,0,8,8,4,217,2.74,1.37
93,0,3,8,4,183,4.5,2.25
94,1,203,8,4,81,2.72,1.36
95,1,224,8,4,111,4.44,2.22
96,1,299,8,4,174,4.74,2.37
97,1,188,8,4,160,3.18,1.59
98,1,217,8,4,184,2.94,1.47
99,1,262,8,4,124,4.62,2.31
100,1,174,8,4,150,4.54,2.27
101,1,225,8,4,-6,4.5,2.25
102,0,8,9,3,-21,3.44,1.72
103,0,4,9,3,67,3.38,1.69
104,0,1,9,3,30,3.82,1.91
105,0,9,9,3,114,5.24,2.62
106,0,1,9,3,229,4.86,2.43
107,0,1,9,3,208,3.02,1.51
108,1,130,9,3,181,3.14,1.57
109,1,277,9,3,207,2.36,1.18
110,1,242,9,3,-67,2.5,1.25
111,1,225,9,3,6,4.02,2.01
112,1,254,9,3,19,1.64,0.82
113,1,343,9,3,141,3.42,1.71
114,1,232,9,3,33,3.72,1.86
115,1,198,9,3,-48,2.42,1.21
